Date,User,Tweet,clean_tweets
2022-09-04 14:32:07+00:00,Mura,@Skkane3Sk @AbsaKenya 🤣🤣 umaskini ndio inasumbua.,🤣🤣 umaskini ndio inasumbua.
2022-09-04 14:14:03+00:00,Sk kane,"@Murakariuki @AbsaKenya Mkuu you’re in the wrong place, kindly still utilize Mshwari and KCB Mpesa. Your time will… https://t.co/JHLBAxAqcY","Mkuu you’re wrong place, kindly still utilize Mshwari KCB Mpesa. Your time will…"
2022-09-04 14:11:49+00:00,mohamed mbaru🇰🇪 /Bush,@AbsaKenya @Murakariuki https://t.co/RZyD7swGzs here Ni Nini mnataka kuficha!,Ni Nini mnataka kuficha!
2022-09-04 13:20:57+00:00,Sir H.,@National_Bank @a_omude @Murakariuki @AbsaKenya Statements should be given free of charge on email,Statements given free charge email
2022-09-04 13:20:37+00:00,Absa Bank Kenya,@alilageorge For that month statement.^AM,For month statement.^AM
2022-09-04 13:20:15+00:00,African Teacher,@oumasteveouma1 @National_Bank @a_omude @Murakariuki @AbsaKenya That was 180 per page bwana,That 180 per page bwana
2022-09-04 13:20:09+00:00,Sir H.,"@AbsaKenya @Murakariuki If this is true, then am heartbroken.","If true, heartbroken."
2022-09-04 13:18:54+00:00,African Teacher,@WaweruJohn10 @Murakariuki @AbsaKenya We have found ourselves in a country called Kenya,We found country called Kenya
2022-09-04 13:16:32+00:00,African Teacher,@AbsaKenya @Hermon254 25 per page?,25 per page?
2022-09-04 13:13:29+00:00,Absa Bank Kenya,@Ziloopi The bank statement downloaded from internet banking is free of charge including to certify.^AM,The bank statement downloaded internet banking free charge including certify.^AM
2022-09-04 13:10:37+00:00,Nyambura Ndung'u (Ziloopi),"@Murakariuki @AbsaKenya I can access my statement from absa by logging into the banking portal and i can print, is… https://t.co/8hx53ZXW0E","I access statement absa logging banking portal print, is…"
2022-09-04 12:54:25+00:00,James Ongal,@Murakariuki @AbsaKenya I was to open an account here but this is just discouraging now,I open account discouraging
2022-09-04 12:52:37+00:00,Cosmas Boit,@Murakariuki @AbsaKenya Tf is that @absaKenya. Thas extortion tbh,Tf . Thas extortion
2022-09-04 12:48:08+00:00,Twims,"@Murakariuki @AbsaKenya @AbsaKenya fraudsters, and the way I trusted this bank.🤔","fraudsters, way I trusted bank.🤔"
2022-09-04 12:44:14+00:00,DANIEL,@Murakariuki @AbsaKenya I didn’t know?,I didn’t know?
2022-09-04 12:36:07+00:00,Absa Bank Kenya,@Hermon254 The monthly statement sent to emails is kes 25 and an excise duty at 20%. To de-activate you can call us… https://t.co/28VXQzwTjK,The monthly statement sent emails kes 25 excise duty 20%. To de-activate call us…
2022-09-04 12:30:42+00:00,.....,@Murakariuki @AbsaKenya @AbsaKenya do you charge for the statement you send monthly if so how can I deactivate them?,charge statement send monthly I deactivate them?
2022-09-04 12:21:46+00:00,McRory,@Murakariuki @ken_muts @AbsaKenya Actually they charge 5 Bob per SMS they send you 😂😂😂,Actually charge 5 Bob per SMS send 😂😂😂
2022-09-04 12:15:14+00:00,TheInvestor🇰🇪🇱🇷,@Murakariuki @AbsaKenya @StanbicKE Sends my statement every month promptly without fail and without asking. Conside… https://t.co/fRGPY9HTTr,Sends statement every month promptly without fail without asking. Conside…
2022-09-04 12:11:36+00:00,SmoQin Wanjala,@AbsaKenya @Murakariuki OPAQUENESS detected,OPAQUENESS detected
2022-09-04 11:52:50+00:00,positive vibe,@Murakariuki @AbsaKenya Check this either join @KCBGroup or @KeEquityBank others are scam,Check either join others scam
2022-09-04 11:45:54+00:00,George Sunga,@National_Bank @ShiruNjuguna4 @Murakariuki @KipkiruiAR @a_omude @AbsaKenya 😉😁,😉😁
2022-09-04 11:37:31+00:00,Michaelobaji,@Murakariuki @AbsaKenya 😂😂😂😂😂😂,😂😂😂😂😂😂
2022-09-04 11:25:28+00:00,Mareen olando,@Murakariuki @AbsaKenya The way you joined at own will kindly walk away from this bank,The way joined kindly walk away bank
2022-09-04 11:23:53+00:00,Kevin Bulimu,@Murakariuki @AbsaKenya @sbmbankkenya sends for free! Smarter tomorrow,sends free! Smarter tomorrow
2022-09-04 11:00:28+00:00,JACKSON KIMANI ,"@Murakariuki @AbsaKenya @Coopbankenya @StanbicKE @KeEquityBank If you need certified copies, which I believe is wha… https://t.co/ICWlVbQPJy","If need certified copies, I believe wha…"
2022-09-04 10:58:11+00:00,michael kano,@Murakariuki @AbsaKenya Im an absa member. Statements are sent via email. If you want an official statement si u ju… https://t.co/eSFTcB1ok1,Im absa member. Statements sent via email. If want official statement si u ju…
2022-09-04 10:58:02+00:00,Ìsle δf Mãn {E = mc²},@Murakariuki @AbsaKenya Na ukitumia WiFi yako?,Na ukitumia WiFi yako?
