Date,User,Tweet,clean_tweets
2022-09-04 14:31:29+00:00,Airtel Kenya,@rich_thuran @lewis_king01 #MakeChaguoSmartaNaAirtel  Keep it Airtel. ^Jamo,#MakeChaguoSmartaNaAirtel Keep Airtel. ^Jamo
2022-09-04 14:30:44+00:00,Airtel Kenya,"@nic_yush @annemwaura687 Hello Nicc,  #MakeChaguoSmartaNaAirtel Kabisa ^Jamo","Hello Nicc, #MakeChaguoSmartaNaAirtel Kabisa ^Jamo"
2022-09-04 14:25:13+00:00,Martin,"Nikusort aje? Using airtel has never been this amazing because of the Airtel 4G which is faster, better and everywh… https://t.co/IYHBE609Iq","Nikusort aje? Using airtel never amazing Airtel 4G faster, better everywh…"
2022-09-04 14:25:11+00:00,clintxy,"Guys, @AIRTEL_KE have expanded their 4G network coverage across the country
You can also send money from Airtel to… https://t.co/rWsQEJKSCD","Guys, expanded 4G network coverage across country You also send money Airtel to…"
2022-09-04 14:23:56+00:00,Promoindian,@airtelindia @Airtel_Presence after repeated attempts you ppl still not able to fix my dth signal prblm. I'm not ab… https://t.co/pPW0MbamSJ,repeated attempts ppl still able fix dth signal prblm. I'm ab…
2022-09-04 14:21:33+00:00,DC,"@AIRTEL_KE najua ni Sunday. Lakini please, check DM. It's urgent. Thanks","najua ni Sunday. Lakini please, check DM. It's urgent. Thanks"
2022-09-04 14:20:00+00:00,Airtel Kenya,@Maxwellkipz1525 #MakeChaguoSmartaNaAirtel,#MakeChaguoSmartaNaAirtel
2022-09-04 14:19:23+00:00,Airtel Kenya,@KidPolland @lady__wanja #MakeChaguoSmartaNaAirtel,#MakeChaguoSmartaNaAirtel
2022-09-04 14:19:01+00:00,Nish_tweets,"Star sports bich mein no signal bata raha tha airtel walon ke liye
Par ab aagaya
Thodi der ke liye goti muh mein tha",Star sports bich mein signal bata raha tha airtel walon ke liye Par ab aagaya Thodi der ke liye goti muh mein tha
2022-09-04 14:17:46+00:00,Airtel Kenya,@atogo_Ch 😑,😑
2022-09-04 14:17:41+00:00,Airtel Kenya,@Captainsmurk @simonndunda11 Kabisa.  #MakeChaguoSmartaNaAirtel ^Jamo,Kabisa. #MakeChaguoSmartaNaAirtel ^Jamo
2022-09-04 14:17:28+00:00,Airtel Kenya,@Sally_Kakani #MakeChaguoSmartaNaAirtel,#MakeChaguoSmartaNaAirtel
2022-09-04 14:11:55+00:00,@mercyappiah254,@AIRTEL_KE have expanded their 4G network coverage across the country now you can send money from Airtel to Airtel… https://t.co/jmmqgeCaif,expanded 4G network coverage across country send money Airtel Airtel…
2022-09-04 14:11:54+00:00,Airtel Kenya,@brigidsaina @Lavan49 #MakeChaguoSmartaNaAirtel,#MakeChaguoSmartaNaAirtel
2022-09-04 14:11:18+00:00,Airtel Kenya,@AyiendaWycliffe @eliza_kemunto #MakeChaguoSmartaNaAirtel Kabisa ^Jamo,#MakeChaguoSmartaNaAirtel Kabisa ^Jamo
2022-09-04 14:10:52+00:00,Airtel Kenya,@JosephK56067137 @kosgeianne #MakeChaguoSmartaNaAirtel,#MakeChaguoSmartaNaAirtel
2022-09-04 14:09:57+00:00,Maxwell,#MakeChaguoSmartaNaAirtel by sending money for free on Airtel to Airtel.Dial *334# and enjoy Airtel Money.… https://t.co/UdLH8IPqXE,#MakeChaguoSmartaNaAirtel sending money free Airtel Airtel.Dial *334# enjoy Airtel Money.…
2022-09-04 14:09:38+00:00,Airtel Kenya,@keshy_grace 😑,😑
2022-09-04 14:07:01+00:00,Lisliq_lopez🇰🇪,"Yooh guyz switch to@AIRTEL_KE today and enjoy
expanded 4G Internet speeds
Airtel Money affordability; Send Money fo… https://t.co/K9YW4gF4d0",Yooh guyz switch today enjoy expanded 4G Internet speeds Airtel Money affordability; Send Money fo…
2022-09-04 14:06:50+00:00,Airtel Kenya,@kibeeKE @ArusoJr #MakeChaguoSmartaNaAirtel,#MakeChaguoSmartaNaAirtel
2022-09-04 14:05:27+00:00,Atogo,Inner circle ni watu wako na number yako ya @AIRTEL_KE,Inner circle ni watu wako na number yako ya
2022-09-04 14:05:07+00:00,won header,"Guys, @AIRTEL_KE has expanded 4G network everywhere across the country . 
@lady__wanja Switch to Airtel alafu: ""Nit… https://t.co/e2s02rEXBe","Guys, expanded 4G network everywhere across country . Switch Airtel alafu: ""Nit…"
2022-09-04 14:05:06+00:00,Rich_thuran,Hey guys Now Airtel Money is more effective with the Expanded network coverage for Airtel 4G.  @AIRTEL_KE… https://t.co/Sudfa4ZjL4,Hey guys Now Airtel Money effective Expanded network coverage Airtel 4G. …
2022-09-04 14:03:52+00:00,Airtel Kenya,@em_sylvia @TimothyZawadi #MakeChaguoSmartaNaAirtel,#MakeChaguoSmartaNaAirtel
2022-09-04 14:03:37+00:00,Airtel Kenya,@kosgey_renson @Ngangat1 #MakeChaguoSmartaNaAirtel,#MakeChaguoSmartaNaAirtel
2022-09-04 14:00:19+00:00,nicc,"""Nitumie na Airtel"", @AIRTEL_KE is now the most affordable network better &amp; faster with expanded network coverage f… https://t.co/4r4sOhFEsm","""Nitumie na Airtel"", affordable network better &amp; faster expanded network coverage f…"
2022-09-04 13:59:51+00:00,Sally Kakani,"@AIRTEL_KE  is the right network we should consider coz it has expanded its 4G network ,voice and data deals.Dial *… https://t.co/DTsgtMBasA","right network consider coz expanded 4G network ,voice data deals.Dial *…"
2022-09-04 13:59:47+00:00,Winfred Wawira,@AIRTEL_KE has Expanded network coverage for Airtel 4G.  Enjoy Airtel Money affordability; Send Money for Free (Air… https://t.co/5bSQ2Q8PNM,Expanded network coverage Airtel 4G. Enjoy Airtel Money affordability; Send Money Free (Air…
2022-09-04 13:59:08+00:00,Airtel Kenya,@GiddySheh @_Jaaymoh @Okongo_BO1 Kabisa!!!  #MakeChaguoSmartaNaAirtel ^Jamo,Kabisa!!! #MakeChaguoSmartaNaAirtel ^Jamo
2022-09-04 13:58:46+00:00,Airtel Kenya,@MoraaYvonne1 @nyabuto_yvonne #MakeChaguoSmartaNaAirtel Spread the word ^Jamo,#MakeChaguoSmartaNaAirtel Spread word ^Jamo
2022-09-04 13:58:20+00:00,Airtel Kenya,@ninja_040 @daniel #MakeChaguoSmartaNaAirtel Kabisa!! ^Jamo,#MakeChaguoSmartaNaAirtel Kabisa!! ^Jamo
2022-09-04 13:57:40+00:00,Wycliffe Ayienda,"Ntakusort aje""@eliza_kemunto no more wondering once ume switch to @AIRTEL_KE Now it has expanded its 4G network cov… https://t.co/8E02Cee4I1","Ntakusort aje"" wondering ume switch Now expanded 4G network cov…"
2022-09-04 13:56:29+00:00,Giddy Sheh🇰🇪,@_Jaaymoh @AIRTEL_KE @Okongo_BO1 Good job Airtel iko safi,Good job Airtel iko safi
2022-09-04 13:56:21+00:00,Airtel Kenya,@Chepchumba_ke @alexm #MakeChaguoSmartaNaAirtel,#MakeChaguoSmartaNaAirtel
2022-09-04 13:55:41+00:00,Airtel Kenya,@onunga254 @keshy_grace @itswinnienjeri #MakeChaguoSmartaNaAirtel,#MakeChaguoSmartaNaAirtel
2022-09-04 13:55:22+00:00,Maktejah Brian™ 🚘,@izkctm @AIRTEL_KE On it,On
2022-09-04 13:55:16+00:00,Joseph Kimanthi,@AIRTEL_KE  has Expanded network coverage for Airtel 4G.  Enjoy Airtel Money affordability; Send Money for Free (Ai… https://t.co/pwY94Kez2H,Expanded network coverage Airtel 4G. Enjoy Airtel Money affordability; Send Money Free (Ai…
2022-09-04 13:55:00+00:00,Brigid Saina,"Guys, @AIRTEL_KE have expanded their 4G network coverage across the country
You can also send money from Airtel to… https://t.co/9uCzR5POo2","Guys, expanded 4G network coverage across country You also send money Airtel to…"
2022-09-04 13:53:33+00:00,Moraa Yvonne,Wadau @AIRTEL_KE offers you great services. Dial *334# opt in and enjoy sending money from Airtel to Airtel for fre… https://t.co/gObbU9ZgEv,Wadau offers great services. Dial *334# opt enjoy sending money Airtel Airtel fre…
2022-09-04 13:52:07+00:00,Airtel Kenya,@Rider24023277 @BitokLennie @liolen7 @Sheidheda16 #MakeChaguoSmartaNaAirtel,#MakeChaguoSmartaNaAirtel
2022-09-04 13:51:11+00:00,Mademoiselle Keshy😊✨,@AIRTEL_KE 😄😄nitumieni data za kuenda live,😄😄nitumieni data za kuenda live
2022-09-04 13:50:59+00:00,Captain,"@AIRTEL_KE  wamexpend their 4G internet coverage.

Saa hii iko faster, better and everywhere kama oxygen 😁.… https://t.co/Ri5GCPu42o","wamexpend 4G internet coverage. Saa hii iko faster, better everywhere kama oxygen 😁.…"
2022-09-04 13:50:53+00:00,Grants kenya.,Eerroooo no emergency banaaa. @AIRTEL_KE  iko na internet kiiiila mahali 😂😂 sasa imagine kuna 4g coverage kila maha… https://t.co/JrIApGSKfs,Eerroooo emergency banaaa. iko na internet kiiiila mahali 😂😂 sasa imagine kuna 4g coverage kila maha…
2022-09-04 13:50:36+00:00,Amarnath Singh 🇮🇳,"Mera phone Turkey, Greece, Malta, Italy, Gibraltar aur ab Canada me log in nahi ho raha hai. Airtel ne na jaane kya… https://t.co/qF3AfWtvJI","Mera phone Turkey, Greece, Malta, Italy, Gibraltar aur ab Canada log nahi ho raha hai. Airtel ne na jaane kya…"
2022-09-04 13:50:28+00:00,Airtel Kenya,@Marshy_ke_ @KoechGlorian #MakeChaguoSmartaNaAirtel,#MakeChaguoSmartaNaAirtel
2022-09-04 13:50:14+00:00,Airtel Kenya,@keshy_grace #MakeChaguoSmartaNaAirtel,#MakeChaguoSmartaNaAirtel
2022-09-04 13:49:46+00:00,em✿,"Send money for free via Airtel money (Airtel-Airtel)

@AIRTEL_KE upgraded 4G internet is better faster and everywhe… https://t.co/JqkwkOFPq7",Send money free via Airtel money (Airtel-Airtel) upgraded 4G internet better faster everywhe…
2022-09-04 13:49:37+00:00,Renson kosgey,"@AIRTEL_KE
 have expanded their network coverage &amp; you can send money for free from Airtel to Airtel. Iko kila maha… https://t.co/1m7M8IoW2t",expanded network coverage &amp; send money free Airtel Airtel. Iko kila maha…
2022-09-04 13:49:36+00:00,Airtel Kenya,@illicitjokerr #MakeChaguoSmartaNaAirtel,#MakeChaguoSmartaNaAirtel
2022-09-04 13:49:36+00:00,Kibee KE,"Here is %sSwitch to @AIRTEL_KE ndio unitumie na Airtel money ile deni free of charge. @ArusoJR
.Airtel 4G Network i… https://t.co/d8NXCU0HrB",Here %sSwitch ndio unitumie na Airtel money ile deni free charge. .Airtel 4G Network i…
2022-09-04 13:49:15+00:00,Airtel Kenya,@AceAdeh @Elias254_ @swt_akinyi #MakeChaguoSmartaNaAirtel,#MakeChaguoSmartaNaAirtel
2022-09-04 13:49:01+00:00,Airtel Kenya,@brian_vikki_ @doctah254 @mihadharati @HosKorir #MakeChaguoSmartaNaAirtel,#MakeChaguoSmartaNaAirtel
2022-09-04 13:48:49+00:00,Airtel Kenya,@Jameswa_weru @JanetKoech111 #MakeChaguoSmartaNaAirtel,#MakeChaguoSmartaNaAirtel
2022-09-04 13:48:46+00:00,Rider,"'Airtel themost affordable network'
@AIRTEL_KE have expanded Airtel 4G network coverage, it's better faster &amp; every… https://t.co/Ru0dDE3pVm","'Airtel themost affordable network' expanded Airtel 4G network coverage, better faster &amp; every…"
2022-09-04 13:48:36+00:00,Airtel Kenya,@Tecna_ke @GirlYouWant2 #MakeChaguoSmartaNaAirtel,#MakeChaguoSmartaNaAirtel
2022-09-04 13:48:02+00:00,Airtel Kenya,@Naski_fiti @beato__5 #MakeChaguoSmartaNaAirtel,#MakeChaguoSmartaNaAirtel
2022-09-04 13:47:41+00:00,Airtel Kenya,@beato__5 #MakeChaguoSmartaNaAirtel,#MakeChaguoSmartaNaAirtel
2022-09-04 13:47:18+00:00,Emmanuel Adeh,"oya @Elias254_
@swt_akinyi usiachwe nyuma Join @AIRTEL_KE Today 
Enjoy AIRTEL MONEY Service by dialing *334#
Send m… https://t.co/npr3PNyHJj",oya usiachwe nyuma Join Today Enjoy AIRTEL MONEY Service dialing *334# Send m…
2022-09-04 13:46:50+00:00,Mso😍,"@Nimo_997 @papaafathela @smile_lfe It's time to switch to Airtel.
 @AIRTEL_KE have expanded network coverage for Ai… https://t.co/n4xS1BxXm3",It's time switch Airtel. expanded network coverage Ai…
2022-09-04 13:46:42+00:00,Embu_pundit,Send money for free on Airtel to Airtel and #MakeChaguoSmartaNaAirtel by dialing  *334# and enjoy Airtel Money.… https://t.co/qo65wraNsL,Send money free Airtel Airtel #MakeChaguoSmartaNaAirtel dialing *334# enjoy Airtel Money.…
2022-09-04 13:46:39+00:00,Jayjim,"@AIRTEL_KE is the best

4G internet ya Airtel huwaga better, faster and everywhere. 

Hivi sasa unaezatuma doo Airt… https://t.co/JwgbubiUba","best 4G internet ya Airtel huwaga better, faster everywhere. Hivi sasa unaezatuma doo Airt…"
2022-09-04 13:46:10+00:00,Tecna,"Airtel money iko ndani. Airtel 4G Network is now better, faster and everywhere with the expanded Network coverage.… https://t.co/9Ovo3Idt3m","Airtel money iko ndani. Airtel 4G Network better, faster everywhere expanded Network coverage.…"
