Date,User,Tweet,clean_tweets
2022-09-04 14:15:09+00:00,EN Ndovu,@kiptum_joash @KCBGroup,
2022-09-04 13:52:47+00:00,I Thriveinchaos,@alexmwanzo @KCBGroup Have you met @Coopbankenya utachonga waru utii,Have met utachonga waru utii
2022-09-04 13:50:08+00:00,Savimbi,@KCBGroup Mimi nasemaaaa.. https://t.co/QFuX2Sesog,Mimi nasemaaaa..
2022-09-04 13:43:49+00:00,Mickey Omwami,@KCBGroup Check dm,Check
2022-09-04 13:27:39+00:00,KCB GROUP,"@mickey_anyangu Hi, apologies for the inconvenience caused. Kindly follow us back and DM a reachable number for assistance. ^CJ","Hi, apologies inconvenience caused. Kindly follow us back DM reachable number assistance. ^CJ"
2022-09-04 13:27:30+00:00,KCB GROUP,"@AmianiLinda @KCBGroup Hi, apologies for the inconvenience caused. Kindly follow us back and DM a reachable number for assistance. ^CJ","Hi, apologies inconvenience caused. Kindly follow us back DM reachable number assistance. ^CJ"
2022-09-04 13:26:58+00:00,KCB GROUP,"@mickey_anyangu @KCBGroup Hi, apologies for the inconvenience caused. Kindly follow us back and DM a reachable number for assistance. ^CJ","Hi, apologies inconvenience caused. Kindly follow us back DM reachable number assistance. ^CJ"
2022-09-04 13:26:11+00:00,Mickey Omwami,@KCBGroup Check dm,Check
2022-09-04 13:24:16+00:00,Mickey Omwami,@KCBGroup @StellaToto Check dm,Check
2022-09-04 13:23:58+00:00,Mickey Omwami,@KCBGroup @lygabryan Check dm,Check
2022-09-04 13:03:27+00:00,KCB GROUP,"@AmianiLinda Hi, apologies for the inconvenience caused. Kindly follow us back and DM a reachable number for assistance. ^CJ","Hi, apologies inconvenience caused. Kindly follow us back DM reachable number assistance. ^CJ"
2022-09-04 13:00:33+00:00,The Enigma ,"Hi admin @KCBGroup, please check DM","Hi admin , please check DM"
2022-09-04 12:41:33+00:00,KCB GROUP,"@Vic_Kefa Hi, apologies for the inconvenience caused. Kindly follow us back and DM a reachable number for assistance. ^CJ","Hi, apologies inconvenience caused. Kindly follow us back DM reachable number assistance. ^CJ"
2022-09-04 12:40:49+00:00,KCB GROUP,"@emkaylast Hi, apologies for the inconvenience caused. Kindly follow us back and DM a reachable number for assistance. ^CJ","Hi, apologies inconvenience caused. Kindly follow us back DM reachable number assistance. ^CJ"
2022-09-04 12:12:05+00:00,KCB Group,@ElvisMo55160353 👍 ^VS,👍 ^VS
2022-09-04 12:11:54+00:00,Elvis Morgan,@KCBGroup Thanks,Thanks
2022-09-04 12:09:47+00:00,KCB Group,"@ElvisMo55160353 Hi, kindly visit the branch with your ID.ATM processing fee is KES 516. ^VS","Hi, kindly visit branch ID.ATM processing fee KES 516. ^VS"
2022-09-04 12:08:08+00:00,Elvis Morgan,@KCBGroup @alexmwanzo Kwanza wat do you need to obtain an atm card kcb bank,Kwanza wat need obtain atm card kcb bank
2022-09-04 11:59:24+00:00,the stallion,@KCBGroup Check DM,Check DM
2022-09-04 11:58:50+00:00,the stallion,@KCBGroup @Vic_Kefa Check DM,Check DM
2022-09-04 11:52:50+00:00,positive vibe,@Murakariuki @AbsaKenya Check this either join @KCBGroup or @KeEquityBank others are scam,Check either join others scam
2022-09-04 11:51:23+00:00,KCB GROUP,"@Vic_Kefa Hi, apologies for the inconvenience caused. Kindly follow us back and DM a reachable number for assistance. ^CJ","Hi, apologies inconvenience caused. Kindly follow us back DM reachable number assistance. ^CJ"
2022-09-04 11:20:30+00:00,Rievais Niyibizi,"Mwuriwe neza 

Ndashaka kubaza bank you murwanda ushobora hi creatingamo accounts online uri hanze yigihugu kandi u… https://t.co/qxaa05lUmJ",Mwuriwe neza Ndashaka kubaza bank murwanda ushobora hi creatingamo accounts online uri hanze yigihugu kandi u…
2022-09-04 11:07:37+00:00,Morio Anzenza,@KCBGroup Stuck at first TAN pin ...can't go through,Stuck first TAN pin ...can't go
2022-09-04 11:04:24+00:00,Mboya Joseph,@alexmwanzo @KCBGroup Just go back to the car n pick your wallet.,Just go back car n pick wallet.
2022-09-04 10:51:06+00:00,KCB Group,@Vic_Kefa Helo whats the challenge from your end ? ^JK,Helo whats challenge end ? ^JK
2022-09-04 10:50:07+00:00,KCB Group,"@Vic_Kefa Hi, apologies for the inconvenience caused. Kindly follow us back and DM a reachable number for assistance. ^CJ","Hi, apologies inconvenience caused. Kindly follow us back DM reachable number assistance. ^CJ"
2022-09-04 10:50:00+00:00,KCB Group,"@Vic_Kefa Hi, apologies for the inconvenience caused. Kindly follow us back and DM a reachable number for assistance. ^CJ","Hi, apologies inconvenience caused. Kindly follow us back DM reachable number assistance. ^CJ"
2022-09-04 10:45:52+00:00,Ochuodho 🇰🇪🚩🚩,@alexmwanzo @adraine1630 @KCBGroup @StanChartKE But current situation status is : disadvantage,But current situation status : disadvantage
2022-09-04 10:39:31+00:00,KCB Group,@lygabryan Checking . ^JK,Checking . ^JK
2022-09-04 10:37:59+00:00,Morio Anzenza,@KCBGroup online banking not working,online banking working
2022-09-04 10:21:20+00:00,I am Ligami,@KCBGroup kcb check dm,kcb check
2022-09-04 10:20:31+00:00,nelson mutsami Msafi,@KCBGroup Hi iebc clerk money is ready,Hi iebc clerk money ready
2022-09-04 10:11:47+00:00,Kiwa¶~,"@alexmwanzo @KCBGroup I don't think kuna bank imweza kuhack Mobile banking zote hukuwa na issue , maybe safaricom tu","I think kuna bank imweza kuhack Mobile banking zote hukuwa na issue , maybe safaricom tu"
2022-09-04 10:09:02+00:00,Sheba James,@kiptum_joash How possible is it you paid to promote your tweet and forgot samething simple like tagging @KCBGroup… https://t.co/B1W6W1GTkc,How possible paid promote tweet forgot samething simple like tagging …
2022-09-04 09:44:47+00:00,Letting CK.,Mine keeps on telling me locked and I keep going to the Bank. @KCBGroup u need to work on this thing Bana. https://t.co/zleqqqXFL6,Mine keeps telling locked I keep going Bank. u need work thing Bana.
2022-09-04 09:36:52+00:00,I feel loike,"@sambavu @Murakariuki @AbsaKenya @KCBGroup They don’t give statements on email though, you have to go to the bank p… https://t.co/98SBBHguuR","They don’t give statements email though, go bank p…"
2022-09-04 09:20:12+00:00,Mr lofty Bee,@alexmwanzo @KCBGroup Just  go get the bl.dy card from the damn car.,Just go get bl.dy card damn car.
2022-09-04 08:54:54+00:00,Equity Bank Kenya,"@tuwei_kipkoech @alexmwanzo @KCBGroup Hello Tuwei, we regret to hear about your experience and would like to suppor… https://t.co/UsOninuxux","Hello Tuwei, regret hear experience would like suppor…"
2022-09-04 08:49:03+00:00,Katen Ke,@_tsmerichie @KeEquityBank @KCBGroup Do so,Do
2022-09-04 08:45:07+00:00,Richie,@4kanali @KeEquityBank @KCBGroup Ama tukuchangishie uku tl?,Ama tukuchangishie uku tl?
2022-09-04 08:42:23+00:00,Katen Ke,@_tsmerichie @KeEquityBank Also @KCBGroup  do the same,Also
2022-09-04 08:33:56+00:00,KCB Group,@Phann_tastic Hello. Thanks for reaching us. How can we assist you? ^GL,Hello. Thanks reaching us. How assist you? ^GL
2022-09-04 08:28:28+00:00,KCB Group,@wikii_jimcliff 😆😆 ^GL,😆😆 ^GL
2022-09-04 08:24:05+00:00,פנטסטי,"Admin, rada? https://t.co/kPlcWbq63x https://t.co/Ad3qNyLh6q","Admin, rada?"
2022-09-04 08:21:11+00:00,WIKII JIMCLIFF🇰🇪,@KCBGroup 😂😂 shenzi,😂😂 shenzi
2022-09-04 08:19:30+00:00,Mynor,Avoid @AbsaKenya for salaried employees. @Coopbankenya and @NCBABankKenya and @KCBGroup  are my top recommendations.,Avoid salaried employees. top recommendations.
2022-09-04 08:18:25+00:00,KCB Group,"@StellaToto Hello, kindly share your full details via DM for assistance ^RM","Hello, kindly share full details via DM assistance ^RM"
2022-09-04 08:18:23+00:00,KCB Group,@Iano14378504 Hello Ito check balance dial *522#. ^JK,Hello Ito check balance dial *522#. ^JK
2022-09-04 08:16:24+00:00,Stella Toto,@KCBGroup is there a problem with your mobile transactions? I have done a mobile transaction and hours later the mo… https://t.co/ZjRlfg4xh0,problem mobile transactions? I done mobile transaction hours later mo…
