Date,User,Tweet,clean_tweets
2022-09-04 14:32:34+00:00,Gerald Yiaile,@KeEquityBank_9C toka hapa mijinga,toka hapa mijinga
2022-09-04 14:22:29+00:00,Equity Bank Kenya,"@gerald_samaryk Hi, apologies for the inconvenience caused. Kindly follow us back and DM a reachable number for assistance. ^CJ","Hi, apologies inconvenience caused. Kindly follow us back DM reachable number assistance. ^CJ"
2022-09-04 14:22:15+00:00,Equity Bank Kenya,"@SonOfKanyingi Hi, apologies for the inconvenience caused. Kindly follow us back and DM a reachable number for assistance. ^CJ","Hi, apologies inconvenience caused. Kindly follow us back DM reachable number assistance. ^CJ"
2022-09-04 14:18:15+00:00,Owen,@KeEquityBank is your app working seems I have an issue with the OTP,app working seems I issue OTP
2022-09-04 14:15:48+00:00,Gerald Yiaile,@KeEquityBank please check DM..,please check DM..
2022-09-04 14:09:13+00:00,khatwaya Prince,@KeEquityBank @RwEquityBank This app has been asking me to register again recently everytime I log in yet it has be… https://t.co/WhbPFgGMUI,This app asking register recently everytime I log yet be…
2022-09-04 14:07:00+00:00,Muthoni Kahara,@KeEquityBank_9C @KeEquityBank @Switchkenya Check dm,Check
2022-09-04 14:06:14+00:00,Equity Bank Kenya,"@muthoni_kahara @KeEquityBank @Switchkenya Hi, apologies for the inconvenience caused. Kindly follow us back and DM… https://t.co/2odPpAnWSc","Hi, apologies inconvenience caused. Kindly follow us back DM…"
2022-09-04 14:01:33+00:00,Muthoni Kahara,@KeEquityBank @Switchkenya Your eazzy banking and equity mobile app are not working,Your eazzy banking equity mobile app working
2022-09-04 13:44:18+00:00,Equity Bank Kenya,"@Switchkenya Hey there, trust you are well. Kindly slide over to DM, we are there.","Hey there, trust well. Kindly slide DM, there."
2022-09-04 13:39:13+00:00,Equity Bank Kenya,"@biccosteve_ke Hey there, thank you for bringing this to our attention. We have raised this with our team to action… https://t.co/Vtw9s9C4YT","Hey there, thank bringing attention. We raised team action…"
2022-09-04 13:27:38+00:00,Joan Achieng were,@citizentvkenya @KeEquityBank Beautiful,Beautiful
2022-09-04 13:26:16+00:00,IAmSwitchKenya,@KeEquityBank_7V Uko idle sana oya.,Uko idle sana oya.
2022-09-04 13:18:12+00:00,Bicco Steve 🇰🇪,@KeEquityBank @EduMinKenya How do you deal with such fraudsters? https://t.co/urcSXbqLki,How deal fraudsters?
2022-09-04 13:14:56+00:00,Curtis Lwembe,"@KeEquityBank Yes they finally did, an entire day too late to be of any credible assistance in solving the problem I was facing, thanks","Yes finally did, entire day late credible assistance solving problem I facing, thanks"
2022-09-04 13:13:40+00:00,IAmSwitchKenya,Aye @KeEquityBank check DM,Aye check DM
2022-09-04 13:09:14+00:00,Equity Bank Kenya,@biccosteve_ke @EduMinKenya Awesome Stephen 👍,Awesome Stephen 👍
2022-09-04 13:07:47+00:00,I'm joseph,@Chris00624989 @kiptum_joash @KeEquityBank Then you should trace it.nk money can lost within bank system,Then trace it.nk money lost within bank system
2022-09-04 13:04:12+00:00,Equity Bank Kenya,"@biccosteve_ke Hi, apologies for the inconvenience caused. Kindly follow us back and DM a reachable number for assistance. ^CJ","Hi, apologies inconvenience caused. Kindly follow us back DM reachable number assistance. ^CJ"
2022-09-04 13:02:20+00:00,Bicco Steve 🇰🇪,@KeEquityBank It is now working👍,It working👍
2022-09-04 12:59:50+00:00,Equity Bank Kenya,@Pengmistress You are most welcome.,You welcome.
2022-09-04 12:59:10+00:00,Equity Bank Kenya,"@Niclouscage Hi Nicholas, trust you are well and our apologies for the trouble. Kindly see our response via DM and revert.","Hi Nicholas, trust well apologies trouble. Kindly see response via DM revert."
2022-09-04 12:54:10+00:00,Ms. Fluffy,@KeEquityBank Okay. Thanks. That's all.,Okay. Thanks. That's all.
2022-09-04 12:52:04+00:00,Equity Bank Kenya,"@Niclouscage Hi, apologies for the inconvenience caused. Kindly follow us back and DM a reachable number for assistance. ^CJ","Hi, apologies inconvenience caused. Kindly follow us back DM reachable number assistance. ^CJ"
2022-09-04 12:50:44+00:00,Equity Bank Kenya,@Niclouscage @KeEquityBank Hello kindly follow back and Dm a reachable phone number we call and advice.^NM,Hello kindly follow back Dm reachable phone number call advice.^NM
2022-09-04 12:49:33+00:00,Nicholas,@KeEquityBank my equity ezzy banking app is refusing to to work. Please assist.,equity ezzy banking app refusing work. Please assist.
2022-09-04 12:49:23+00:00,*,@maiko_memes @jos_swae @KeEquityBank Smh,Smh
2022-09-04 12:44:48+00:00,Equity Bank Kenya,@mickkinyanjui Kindly see our DM and revert Michael.,Kindly see DM revert Michael.
2022-09-04 12:42:21+00:00,Equity Bank Kenya,"@itsdennohbruh Hi there, thank you for writing in with your concerns. Kindly cross over to DM, see our response and… https://t.co/5lvbWDKhRv","Hi there, thank writing concerns. Kindly cross DM, see response and…"
2022-09-04 12:39:54+00:00,Equity Bank Kenya,"@Lailahassan22 Hey there, trust you are well. Kindly review our response via DM.","Hey there, trust well. Kindly review response via DM."
2022-09-04 12:39:40+00:00,scratch card,@itsdennohbruh @jos_swae @KeEquityBank https://t.co/wRMcOt9mYp,
2022-09-04 12:38:19+00:00,Equity Bank Kenya,@CurtisXaha We trust that our team has been in touch and assisted Curtis.,We trust team touch assisted Curtis.
2022-09-04 12:36:49+00:00,muenii🐾🦋,@itsdennohbruh @KeEquityBank 😂😂😂,😂😂😂
2022-09-04 12:34:45+00:00,jojo💜,@itsdennohbruh @KeEquityBank Naona admin alikua active five hours ago,Naona admin alikua active five hours ago
