Date,User,Tweet,clean_tweets
2022-09-04 14:54:23+00:00,undeezguy* 🩲,"Kung nagka-Nokia 3210 ka noon, ilan na anak mo ngayon? 😂","Kung nagka-Nokia 3210 ka noon, ilan na anak mo ngayon? 😂"
2022-09-04 14:54:17+00:00,Spouink,13 ans pour un vrai tel et 11 ans pour un vieux nokia https://t.co/jmlCLQ09Rr,13 ans pour un vrai tel et 11 ans pour un vieux nokia
2022-09-04 14:54:04+00:00,のきじぃ,自分の居場所探しは続行です,自分の居場所探しは続行です
2022-09-04 14:53:27+00:00,のきじぃ,人間不信、失敗恐怖症、ノイローゼに鬱、社会不安,人間不信、失敗恐怖症、ノイローゼに鬱、社会不安
2022-09-04 14:53:25+00:00,Cícerow,@geovanaroocha @priprisquila @eucamiszz até então eu parcelei um Nokia em 40 vezes!,até então eu parcelei um Nokia em 40 vezes!
2022-09-04 14:53:23+00:00,Tii🐭,"@chakwee__ Tapi dikomen banyak yg bilang itu s22 ultra, tau ga tadinya gw kira apa nokia hehehe","Tapi dikomen banyak yg bilang itu s22 ultra, tau ga tadinya gw kira apa nokia hehehe"
2022-09-04 14:52:55+00:00,いとま,"@hauhau_nokia わかる、漫喫最高だよね
今アオアシっていうサッカー漫画が俺の中で1番熱い🔥
まーじでおもろいからおすすめだよ",わかる、漫喫最高だよね 今アオアシっていうサッカー漫画が俺の中で1番熱い🔥 まーじでおもろいからおすすめだよ
2022-09-04 14:52:42+00:00,のきじぃ,結局ね、治らないのが判明してる,結局ね、治らないのが判明してる
2022-09-04 14:52:23+00:00,Gelica,@SjamaanN Nokia 3310 ! Damn that was a reliable phone !,Nokia 3310 ! Damn reliable phone !
2022-09-04 14:52:08+00:00,Mrutyunjay Biswal,"@lyricsmotions why bother about a Nokia keypad when you have an iPhone, a Pixel, and a One Plus?","bother Nokia keypad iPhone, Pixel, One Plus?"
2022-09-04 14:51:54+00:00,🕸Aiman,@WaywardPink Bcz it was recorded from nokia 3310,Bcz recorded nokia 3310
2022-09-04 14:51:34+00:00,のきじぃ,したいことも特にない,したいことも特にない
2022-09-04 14:51:20+00:00,jose leon #moneyart,"@JoseMartinz__19 @JJothan Jajajaja la marihuana es mas efectiva que nokia en eso de conectar gente, claro que si perro.. obviamente!","Jajajaja la marihuana es mas efectiva que nokia en eso de conectar gente, claro que si perro.. obviamente!"
2022-09-04 14:51:20+00:00,のきじぃ,やりたいこと終わった,やりたいこと終わった
2022-09-04 14:51:07+00:00,のきじぃ,これからどうしていこ。,これからどうしていこ。
2022-09-04 14:50:59+00:00,Albérico Barrios,Recordás en Nokia? mirá... https://t.co/eZ843lhrKZ,Recordás en Nokia? mirá...
2022-09-04 14:50:54+00:00,Noni Coffey ☘️📷,"@karinuchova El 3, era un caño ese Nokia!","El 3, era un caño ese Nokia!"
2022-09-04 14:50:44+00:00,cass*ੈ✩‧₊˚୨୧˚,the nokia notification sound :3 https://t.co/duriKCwLR2,nokia notification sound :3
2022-09-04 14:50:40+00:00,Julia,"Dieser kurze Adrenalin kick, wenn man sich fast mit dem Fernseher von seinem Nachbarn verbindet.. 

Einfach genauso… https://t.co/Urb8if0PAi","Dieser kurze Adrenalin kick, wenn man sich fast mit dem Fernseher von seinem Nachbarn verbindet.. Einfach genauso…"
2022-09-04 14:50:39+00:00,のきじぃ,恋の始まりは料理より甘くなる… https://t.co/qpa5nfAeE5 @YouTubeより,恋の始まりは料理より甘くなる…
2022-09-04 14:50:24+00:00,kyri,Nokia asking me questions made me realize how nonchalant I really am 😭😭 damn https://t.co/v5w6Cm5o8I,Nokia asking questions made realize nonchalant I really 😭😭 damn
2022-09-04 14:49:25+00:00,すてあんぬ,@hauhau_nokia 極めるかー😡,極めるかー😡
2022-09-04 14:49:19+00:00,Markie 🤸,"today I learnt that actually you CAN severely damage a Nokia phone just by dropping it from 20cm high.
I've changed… https://t.co/htvwSSegG4",today I learnt actually CAN severely damage Nokia phone dropping 20cm high. I've changed…
2022-09-04 14:49:09+00:00,Esteban Trippi,@ivan74newells Pueden desbloquear un iPhone pero un Nokia n5 se les formatea... Ja ja ja ja,Pueden desbloquear un iPhone pero un Nokia n5 se les formatea... Ja ja ja ja
2022-09-04 14:48:34+00:00,のきじぃ,【アニメ】俺が思う青春を全部詰め込んでみた https://t.co/jFh0BdJjfo @YouTubeより,【アニメ】俺が思う青春を全部詰め込んでみた
2022-09-04 14:47:43+00:00,Delta,Si esto sigue así yo me pillo un Nokia,Si esto sigue así yo pillo un Nokia
2022-09-04 14:47:39+00:00,أنس أسامة,Meet the Nokia 8 — The First Android Flagship From The Iconic Brand https://t.co/VucuhgF1rY,Meet Nokia 8 — The First Android Flagship From The Iconic Brand
2022-09-04 14:47:05+00:00,harapanrakyat.com,"HP Nokia Kamera 3 Terbaru, Cocok Buat yang Suka Selfie https://t.co/hbUQ313UGH","HP Nokia Kamera 3 Terbaru, Cocok Buat yang Suka Selfie"
2022-09-04 14:46:55+00:00,KRATOS,Nishaanza kutetemeka kama simu ya Nokia ju ya hio game ya Arsenal,Nishaanza kutetemeka kama simu ya Nokia ju ya hio game ya Arsenal
2022-09-04 14:46:28+00:00,TechSpot,What is Nokia Circular? Eco-friendly phone subscription service explained https://t.co/dp6HIut2VT,What Nokia Circular? Eco-friendly phone subscription service explained
2022-09-04 14:46:19+00:00,David,"Do you play android games....? https://t.co/bKZDZrhAWz #puzzle #androidgames #ball #fun #Nougat #Nokia September 04, 2022 at 08:16PM","Do play android games....? #puzzle #androidgames #ball #fun #Nougat #Nokia September 04, 2022 08:16PM"
2022-09-04 14:44:48+00:00,🐈‍⬛,these r my favourite seru bgt apalagi diamond rush 😭 nokia core,r favourite seru bgt apalagi diamond rush 😭 nokia core
2022-09-04 14:42:34+00:00,エルノん,https://t.co/E0zuHwruAY,
2022-09-04 14:41:45+00:00,sapy,"kalo baca gitu i read mostly doraemon manga dan majalah bobo. but, let’s not forget majalah pulsa yang bikin aku pe… https://t.co/zJ5TpyZovR","kalo baca gitu read mostly doraemon manga dan majalah bobo. but, let’s forget majalah pulsa yang bikin aku pe…"
2022-09-04 14:41:21+00:00,ひろ。,"@Uzimattya0919 俺も人に優しい人でありたいですね🫡
週末親友にずっと甘えてきました✋
いつでも俺はTwitterにいますから
辛い時は呼んでください！！！",俺も人に優しい人でありたいですね🫡 週末親友にずっと甘えてきました✋ いつでも俺はTwitterにいますから 辛い時は呼んでください！！！
2022-09-04 14:40:54+00:00,PIXEL SHARK (FOLOWS BACK TILL 100),@CursedrblxMemes Nokia,Nokia
2022-09-04 14:40:40+00:00,Виктор Репан,"@AtiaRotari Это было правдой для поколения мобильных телефонов времён Nokia 3310.
Сейчас нового поколения батареи - им всё равно.",Это было правдой для поколения мобильных телефонов времён Nokia 3310. Сейчас нового поколения батареи - им всё равно.
