Date,User,Tweet,clean_tweets
2022-09-04 14:24:25+00:00,nehemiah bosire,"@Diet_prada891 @nguli_victor @Onorpik So in this case, let me use an example. An ethical hacker won't take the mone… https://t.co/9arxK8GoJI","So case, let use example. An ethical hacker take mone…"
2022-09-04 14:23:47+00:00,Barrack Onyango™,@DenisMaosa @Safaricom_Care 🤣🤣🤣,🤣🤣🤣
2022-09-04 14:22:43+00:00,Dominic Bett,"@allan_muriuki @Safaricom_Care Nitumie k bna , Io pesa ni mingi","Nitumie k bna , Io pesa ni mingi"
2022-09-04 14:21:48+00:00,Blackii⚪,@Nyaberih_ Download mpesa app ama my safaricom app,Download mpesa app ama safaricom app
2022-09-04 14:20:30+00:00,Kunguru K Kizito,@allan_muriuki @Safaricom_Care This is done by Safaricom guys then the same guys ask you to DM.,This done Safaricom guys guys ask DM.
2022-09-04 14:20:19+00:00,🏃🏿‍♂️Kalenjin Pipe 🇰🇪🐦,@nasmohamed131 @Livingitupbro @SafaricomPLC @Safaricom_Care Use biometrics instead of pin when using Mpesa app,Use biometrics instead pin using Mpesa app
2022-09-04 14:19:12+00:00,musyokajunior64,@Safaricom_Care 0705777350,705777350
2022-09-04 14:18:02+00:00,certifiedcharacterdeveloper,@Safaricom_Care Hey @Safaricom_Care @SafaricomPLC @Safaricom_Care mnataka niwaite mara ngapi. Sasa mbona mnirudishi… https://t.co/wwpmoUbuzQ,Hey mnataka niwaite mara ngapi. Sasa mbona mnirudishi…
2022-09-04 14:17:24+00:00,Budhist,@Nyaberih_ Click hapo kwa safaricom then urudi sasa mpesa.,Click hapo kwa safaricom urudi sasa mpesa.
2022-09-04 14:17:06+00:00,Frank,@Safaricom_Care Hey! I have been experiencing poor m-pesa services today. From almost getting stuck in the supermar… https://t.co/4KdGihJRbW,Hey! I experiencing poor m-pesa services today. From almost getting stuck supermar…
2022-09-04 14:16:37+00:00,AIMO MAGARI DEALER 001🇰🇪🇰🇪,Citizen TV Winnie Odinga  Chelsea Manchester United Kisii On Monday Chilwell Kalonzo Mike Sonko  Ruto the 5th Kisum… https://t.co/YMFx5EL1Ht,Citizen TV Winnie Odinga Chelsea Manchester United Kisii On Monday Chilwell Kalonzo Mike Sonko Ruto 5th Kisum…
2022-09-04 14:15:31+00:00,musyokajunior64,@Safaricom_Care Ama kuna vile naeza pata verification code ile itatumwa kwa hio line niverify my email only email v… https://t.co/t2Il8WrNLW,Ama kuna vile naeza pata verification code ile itatumwa kwa hio line niverify email email v…
2022-09-04 14:15:13+00:00,Dr.F M,@allan_muriuki @Safaricom_Care Hata hivo mko na pesa mingi aje,Hata hivo mko na pesa mingi aje
2022-09-04 14:14:58+00:00,nasmohamed,"@Livingitupbro @SafaricomPLC I had same issue this morning,   i called @Safaricom_Care , and they informed me it co… https://t.co/pRbb8ZSfD8","I issue morning, called , informed co…"
2022-09-04 14:14:53+00:00,Safaricom Care,@wambo_gwance Checking in a short while. ^AB,Checking short while. ^AB
2022-09-04 14:14:40+00:00,Patricia Mbela,@Safaricom_Care @SafaricomPLC  Mpesa App Deleted PAP!!! Tell us when you fix the problem 🙄🙄🙄 https://t.co/jdhr5MkKNp,Mpesa App Deleted PAP!!! Tell us fix problem 🙄🙄🙄
2022-09-04 14:13:44+00:00,silaa,@Safaricom_Care I onces called you about this pesa kutolewa ukiwa umeshika simu pesa zinapotea what nilisaidiwa nay… https://t.co/vz7FEd9LDR,I onces called pesa kutolewa ukiwa umeshika simu pesa zinapotea nilisaidiwa nay…
2022-09-04 14:13:44+00:00,Rio,Hii ujinga mtaacha lini? @Safaricom_Care why do you allow this? https://t.co/LQeuWsG0Ar,Hii ujinga mtaacha lini? allow this?
2022-09-04 14:13:24+00:00,Clayo_254,@Onorpik Hii issue hua inatokana kama uli log in kwa mpesa app kwa phone ya mtu mwingine. Ju mpesa app hutumia eith… https://t.co/AADzINB6qY,Hii issue hua inatokana kama uli log kwa mpesa app kwa phone ya mtu mwingine. Ju mpesa app hutumia eith…
2022-09-04 14:13:23+00:00,Michael Kiteki,"#supremecourtofkenya 

Which is the best ruling for presidential petition on Monday 5th?

Citizen TV |Nairobi count… https://t.co/rNdSycnVcC",#supremecourtofkenya Which best ruling presidential petition Monday 5th? Citizen TV |Nairobi count…
