Date,User,Tweet,clean_tweets
2022-09-04 14:53:01+00:00,Carlos G,"@Jose_AvilaB @Armando_Stark @adriancasas @jmatuk @Samsung Totalmente sesgado tu comentario , eres usuario de android .","Totalmente sesgado tu comentario , eres usuario de android ."
2022-09-04 14:52:39+00:00,𝔼𝕝𝕝𝕒𝕙 🐰🍀,@bribri_world Mukhang mag samsung nalang ako hahahaha,Mukhang mag samsung nalang ako hahahaha
2022-09-04 14:52:38+00:00,eulbyeol,"@Askrlfess nder, dian sastro aja pake samsung 🙂🙂🙂","nder, dian sastro aja pake samsung 🙂🙂🙂"
2022-09-04 14:52:38+00:00,mun4 🏁,@131trsr @dazzkyu dulu pernah tgok fancam dkt yt and tdekat komen ramai tnya org yg rec tu pakai phone apa. Bnyak y… https://t.co/GVfr3YWxKq,dulu pernah tgok fancam dkt yt tdekat komen ramai tnya org yg rec tu pakai phone apa. Bnyak y…
2022-09-04 14:52:37+00:00,bilz,"Pls mbanya yg pake samsung s22 ultra ini tolong segera upload fancamnya, mau liat jungwoo HD😭  https://t.co/PELkqaik7S","Pls mbanya yg pake samsung s22 ultra ini tolong segera upload fancamnya, mau liat jungwoo HD😭"
2022-09-04 14:52:32+00:00,s,yaallah pengen samsung s22😭,yaallah pengen samsung s22😭
2022-09-04 14:52:30+00:00,Yashraj Gohil,@samsung_manboy_ @ChoeHaU_WithGal What 😂😂🔥🔥,What 😂😂🔥🔥
2022-09-04 14:52:19+00:00,UNSFESS,-11fess saran hp andorid spek mangtap tp selain samsung budget 3jt,-11fess saran hp andorid spek mangtap tp selain samsung budget 3jt
2022-09-04 14:52:13+00:00,bey! ⚔︎ (｡•̀ᴗ-ღ),@deekaypizzaboi samsung s22 ba yarn sksks,samsung s22 ba yarn sksks
2022-09-04 14:52:03+00:00,orobu lletin,"Presidente sul-coreano perdoa Lee, herdeiro da Samsung, por subornar seu antecessor https://t.co/oPwc4jjzVM","Presidente sul-coreano perdoa Lee, herdeiro da Samsung, por subornar seu antecessor"
2022-09-04 14:52:01+00:00,🦄,@yyldytop asli samsung flip z lewat wkwkwk,asli samsung flip z lewat wkwkwk
2022-09-04 14:52:01+00:00,☆,samsung tuh ciri khasnya kalo ada lampu bakal blur,samsung tuh ciri khasnya kalo ada lampu bakal blur
2022-09-04 14:51:56+00:00,Hawk Enterprises,For Samsung A12 A21 A22 A30 A32 A42 A52 A52S A71 A72 S8 S9 S10+ S20 S20 S21S22 xiomi mix 4 3 iPhone 13 12 Rotate Ma… https://t.co/qllunF7LIT,For Samsung A12 A21 A22 A30 A32 A42 A52 A52S A71 A72 S8 S9 S10+ S20 S20 S21S22 xiomi mix 4 3 iPhone 13 12 Rotate Ma…
2022-09-04 14:51:55+00:00,Mobile2Mobiles,"Samsung Galaxy Z Fold4 receives great response, said to be a game changer https://t.co/fRl15IjhIU via @NewsNowUK… https://t.co/Bfn2db3W3N","Samsung Galaxy Z Fold4 receives great response, said game changer via …"
2022-09-04 14:51:44+00:00,Türkçü Haber,Uygun fiyatlı Samsung Galaxy Wide 6 tanıtıldı! İşte özellikleri https://t.co/5BlPGqtNlk,Uygun fiyatlı Samsung Galaxy Wide 6 tanıtıldı! İşte özellikleri
2022-09-04 14:51:41+00:00,Kevin Alejandro P G,"@geekdegafas iPhone 13 Pro Max 256gb 
Deseo adicionar un Samsung Galaxy Note 20 Ultra como 2do tel",iPhone 13 Pro Max 256gb Deseo adicionar un Samsung Galaxy Note 20 Ultra como 2do tel
2022-09-04 14:51:41+00:00,ぼすかる,"これのパッケージに書いてあった
「プロトコル充電」
ってなんだ？
これってHuaweiやSamsungなどがやってる独自の充電規格のことを指してるって認識でいいのかな
教えてください偉い人 https://t.co/1fT9G87WWn",これのパッケージに書いてあった 「プロトコル充電」 ってなんだ？ これってHuaweiやSamsungなどがやってる独自の充電規格のことを指してるって認識でいいのかな 教えてください偉い人
2022-09-04 14:51:39+00:00,めんどくせー,He gave his brother a Samsung Phone and some shit ton of name brand clothes … my dad went to the mall with him to g… https://t.co/cMdXo6o4Cb,He gave brother Samsung Phone shit ton name brand clothes … dad went mall g…
2022-09-04 14:51:26+00:00,JITENDRA KUMAR DAS,"@techswami_yt Currently I'm using Samsung galaxy A 72, Realme X3 and Realme XT, experience of Samsung galaxy A 72 i… https://t.co/O5fnCH8QzD","Currently I'm using Samsung galaxy A 72, Realme X3 Realme XT, experience Samsung galaxy A 72 i…"
2022-09-04 14:51:19+00:00,Corbin_Rohan,Samsung Galaxy S22 Ultra 5G 512GB 12GB RAM Factory Unlocked (GSM Only | No CDMA - not Compatible with Verizon/Sprin… https://t.co/OcBTSmfFeT,Samsung Galaxy S22 Ultra 5G 512GB 12GB RAM Factory Unlocked (GSM Only | No CDMA - Compatible Verizon/Sprin…
2022-09-04 14:51:19+00:00,Nwachukwu cosmas,@sterling7 Since you have signed for Samsung what you gonna do with your iPhone? Or post only with Samsung and then use iPhone indoor 🥶🥶,Since signed Samsung gonna iPhone? Or post Samsung use iPhone indoor 🥶🥶
2022-09-04 14:51:17+00:00,alish.a,jan und olli machen grad kostenlos besser werbung für samsung als joko und klaas eben #festundflauschig #IFA2022,jan und olli machen grad kostenlos besser werbung für samsung als joko und klaas eben #festundflauschig #IFA2022
2022-09-04 14:51:13+00:00,𝒅𝒂𝑷𝒍𝒖𝒕𝒐𝑺𝒛𝒏 🛸,half swiping on a samsung s10 feels like an extreme sport fr,half swiping samsung s10 feels like extreme sport fr
2022-09-04 14:51:06+00:00,AB || Digital Bro,@iAmChigozie___ @ayomikun_timmy @Naija_PR Na Samsung be this?,Na Samsung this?
2022-09-04 14:51:05+00:00,zak,Vous voyez ma banniere ? Jlai pris du quatrième etage d'un hlm dla tour du pin avec un samsung A12 pourave,Vous voyez banniere ? Jlai pris du quatrième etage d'un hlm dla tour du pin avec un samsung A12 pourave
