Date,User,Tweet,clean_tweets
2022-09-04 14:28:15+00:00,Telkom Kenya,"@CalvinceOoko2 Hello @CalvinceOoko2, apologies for the inconvenience. Kindly copy-paste and share via DM the transa… https://t.co/vo3UrjcYeM","Hello , apologies inconvenience. Kindly copy-paste share via DM transa…"
2022-09-04 13:52:27+00:00,Calvince Ooko,@TelkomKenya @glincsservice I purchased my credit through safaricom but it just disappeared  it didn't reflect conf… https://t.co/6g9DQHFUse,I purchased credit safaricom disappeared reflect conf…
2022-09-04 13:49:18+00:00,Telkom Kenya,"@liberty_organic @TelkomCare_Ke Hello @liberty_organic, apologies for the delay, we are still following up on your… https://t.co/wVB0pYAOD2","Hello , apologies delay, still following your…"
2022-09-04 13:46:51+00:00,philBE,@SubOptic2022 @emarine_pjsc @PCCWGlobal @TelkomKenya @MoICTKenya @somcableltd @TeleGeography @preluder… https://t.co/kH2l7c8xmi,…
2022-09-04 13:36:27+00:00,LIBERTY ORGANIC FARM,@TelkomKenya please resolve ticket number 6251647 as soon as possible. I am operating at a loss due to your neglige… https://t.co/e5DLHYuiav,please resolve ticket number 6251647 soon possible. I operating loss due neglige…
2022-09-04 12:20:57+00:00,Dee_Khay,@kitunguuSaumu01 Be an @TelkomKenya guy on Friday through Monday,Be guy Friday Monday
2022-09-04 11:45:45+00:00,Telkom Kenya,"@glincsservice Please use https://t.co/KBtOmkLIu2 to manage your account and buy bundles, enter your Telkom number… https://t.co/0GA5A0cGnL","Please use manage account buy bundles, enter Telkom number…"
2022-09-04 11:45:41+00:00,Al Tha Nature,@TelkomKenya We want to subscribe to telcom lines but the problem poor network coverage,We want subscribe telcom lines problem poor network coverage
2022-09-04 11:41:27+00:00,@glincsservice,"@TelkomKenya @TelkomCare_Ke why the response  ""... unsecured protocol  ..."" when trying to access #myaccount ?","response ""... unsecured protocol ..."" trying access #myaccount ?"
2022-09-04 11:38:48+00:00,Telkom Kenya,"@glincsservice As advised, Please DM affected Telkom number for further assistance .^eAM","As advised, Please DM affected Telkom number assistance .^eAM"
2022-09-04 11:29:50+00:00,@glincsservice,@TelkomKenya Just be transparent &amp; respond to the question as to why accessed.,Just transparent &amp; respond question accessed.
2022-09-04 11:27:27+00:00,Telkom Kenya,"@glincsservice Hello @glincsservice, we regret the experience. Please DM affected Telkom number for further assistance .^eAM","Hello , regret experience. Please DM affected Telkom number assistance .^eAM"
2022-09-04 11:26:15+00:00,@glincsservice,Can @TelkomKenya @TelkomCare_Ke explain why #myaccount cannot be accessed?,Can explain #myaccount cannot accessed?
2022-09-04 11:24:45+00:00,Telkom Kenya,"@ThaNature Hello @ThaNature, How can we assist. ^eAM","Hello , How assist. ^eAM"
2022-09-04 11:19:26+00:00,Al Tha Nature,@BiznaKeOfficial @TelkomKenya Poor infrastructure what derailing telcom connectivity its up to the to up their game… https://t.co/DRUO0wMWvG,Poor infrastructure derailing telcom connectivity game…
2022-09-04 11:00:52+00:00,Telkom Kenya,"@KelvinChristo19 Hello Kelvin, we regret the experience. Please DM affected Telkom number for further assistance .^eAM","Hello Kelvin, regret experience. Please DM affected Telkom number assistance .^eAM"
2022-09-04 10:41:33+00:00,Kelvin Chris,@TelkomKenya rudisheni zile booth zenu za zamani atleast there was no issue of your network coverage unlike today,rudisheni zile booth zenu za zamani atleast issue network coverage unlike today
2022-09-04 10:28:58+00:00,Telkom Kenya,@Philsmosoti Cool. ^eAM,Cool. ^eAM
2022-09-04 10:17:13+00:00,Telkom Kenya,"@AzziadLover Hello Njiru, we regret the experience. Please DM affected Telkom number for further assistance .^eAM","Hello Njiru, regret experience. Please DM affected Telkom number assistance .^eAM"
2022-09-04 10:15:48+00:00,Lee Njiru,@TelkomKenya is there issues with 4G in NAROK?,issues 4G NAROK?
2022-09-04 10:13:03+00:00,Bizna Kenya,"How @TelkomKenya is scaling up 4G network coverage across Kenya
https://t.co/BgohAF7Jv9",How scaling 4G network coverage across Kenya
